aX,aY,aZ,gX,gY,gZ
-0.150,-3.284,-2.264,-19.165,-25.940,-194.763
-0.042,-3.198,-1.839,-33.325,-56.580,-129.028
0.056,-2.510,-1.308,-37.964,-81.482,-58.533
0.109,-1.540,-0.851,-33.691,-90.454,-3.052
0.149,-0.673,-0.568,-26.184,-88.562,26.733
0.173,-0.066,-0.462,-23.132,-74.097,33.020
0.169,0.201,-0.442,-35.706,-54.199,23.804
0.197,0.286,-0.413,-64.270,-36.255,8.972
0.191,0.122,-0.420,-15.381,-21.240,-16.174
0.171,-0.218,-0.519,-12.817,-8.423,-32.837
0.161,-0.601,-0.625,-10.315,1.526,-40.283
0.154,-0.874,-0.722,-5.798,8.911,-37.109
0.143,-0.957,-0.811,-1.892,13.550,-25.208
0.146,-0.858,-0.896,0.000,15.747,-9.644
0.143,-0.605,-0.976,0.854,15.747,4.333
0.137,-0.347,-1.053,-0.305,15.076,12.634
0.116,-0.180,-1.098,-2.441,10.437,14.160
0.131,-0.112,-1.089,-6.042,4.456,11.475
0.124,-0.100,-1.046,-7.751,0.977,7.568

-0.456,-0.813,-1.577,-196.411,-28.076,-145.630
-0.466,-0.979,-1.671,-203.247,-36.072,-143.188
-0.478,-1.106,-1.799,-208.679,-45.898,-137.024
-0.510,-1.199,-1.926,-218.079,-60.059,-128.296
-0.557,-1.286,-1.958,-230.835,-81.360,-118.530
-0.573,-1.348,-1.844,-242.920,-107.727,-107.605
-0.577,-1.389,-1.712,-253.906,-130.493,-96.191
-0.651,-1.454,-1.614,-265.076,-148.926,-85.876
-0.713,-1.537,-1.402,-271.790,-170.898,-76.904
-0.715,-1.659,-1.058,-266.296,-194.580,-68.787
-0.693,-1.797,-0.633,-262.817,-211.182,-58.350
-0.689,-1.992,-0.262,-238.464,-223.267,-48.889
-0.671,-2.270,-0.039,-202.820,-221.741,-37.842
-0.650,-2.454,0.056,-211.182,-197.205,-15.198
-0.634,-2.634,0.000,-184.265,-176.086,9.216
-0.646,-2.700,-0.151,-173.645,-152.039,39.856
-0.692,-2.722,-0.401,-158.081,-137.695,73.608
-0.765,-2.632,-0.623,-137.573,-137.146,107.666
-0.849,-2.449,-0.780,-119.873,-146.851,140.625
-0.960,-2.216,-0.832,-104.248,-166.382,170.044
-1.073,-1.982,-0.742,-91.675,-192.322,194.397
-1.143,-1.789,-0.481,-83.191,-219.421,213.501
-1.184,-1.646,-0.167,-75.989,-244.263,228.333
