count,aX,aY,aZ,gX,gY,gZ
79,0.16,-0.948,-2.282,-35.034,-14.893,-69.092
80,0.204,-0.744,-1.853,-36.682,-38.452,-49.316
81,0.245,-0.531,-1.442,-40.222,-51.819,-34.973
82,0.267,-0.353,-1.091,-43.884,-53.589,-26.917
83,0.291,-0.219,-0.834,-43.152,-46.448,-23.437
84,0.311,-0.15,-0.71,-37.109,-32.959,-23.743
85,0.303,-0.174,-0.694,-30.701,-16.785,-26.611
86,0.276,-0.284,-0.786,-24.414,1.038,-29.968
87,0.261,-0.422,-0.906,-17.883,13.55,-30.457
88,0.248,-0.507,-1.033,-10.254,21.24,-26.611
89,0.24,-0.509,-1.15,-4.333,23.621,-18.921
90,0.224,-0.452,-1.252,0.793,23.376,-10.315
91,0.217,-0.354,-1.312,3.296,19.592,-3.235
92,0.221,-0.25,-1.327,3.052,13.184,2.563
93,0.209,-0.167,-1.303,1.953,6.226,5.981
94,0.202,-0.105,-1.25,0.183,-0.122,7.69
95,0.195,-0.048,-1.173,-1.587,-4.639,8.423
96,0.195,0.013,-1.09,-4.089,-6.958,8.728
97,0.197,0.055,-1.031,-4.7,-7.019,7.69
98,0.191,0.06,-1.011,-5.066,-5.066,5.554
99,0.185,0.043,-1.017,-5.493,-2.502,3.54
100,0.18,0.005,-1.047,-5.249,-0.671,2.014
101,0.176,-0.039,-1.073,-5.554,-0.122,1.465
102,0.175,-0.06,-1.099,-5.798,-0.366,2.441
103,0.18,-0.027,-1.155,-4.7,-1.404,4.517
104,0.174,0.008,-1.174,-3.662,-3.845,6.409
105,0.184,0.016,-1.144,-4.089,-7.568,7.202
106,0.191,0.006,-1.1,-5.737,-10.742,7.324
107,0.19,0.012,-1.069,-8.24,-13.062,7.874
108,0.194,0.038,-1.049,-9.766,-14.221,9.033
109,0.193,0.073,-1.033,-8.789,-14.526,9.583
110,0.206,0.103,-1.007,-7.141,-14.404,8.789
111,0.213,0.1,-0.986,-4.883,-13.55,6.653
112,0.216,0.063,-0.963,-3.113,-12.39,4.028
113,0.213,0.024,-0.94,-2.075,-11.169,2.319
114,0.218,0.002,-0.916,-1.953,-9.521,2.197
115,0.219,-0.005,-0.904,-1.831,-6.836,2.869
116,0.22,-0.005,-0.908,-2.258,-3.784,3.662
117,0.221,0.003,-0.937,-2.502,-0.305,4.517
118,0.217,0.018,-0.985,-2.197,2.625,5.371
119,0.212,0.042,-1.034,-1.465,4.15,6.042

1,0.03,1.177,-1.869,-146.362,22.278,-37.231
2,-0.008,1.307,-2.083,-156.006,12.878,-54.565
3,-0.063,1.4,-2.276,-167.053,-0.977,-75.623
4,-0.128,1.427,-2.448,-179.321,-19.958,-99.67
5,-0.212,1.321,-2.553,-194.641,-45.288,-126.953
6,-0.323,1.047,-2.583,-213.318,-75.928,-155.579
7,-0.394,0.579,-2.569,-232.544,-108.032,-183.35
8,-0.442,0.004,-2.507,-247.009,-139.587,-206.36
9,-0.51,-0.586,-2.394,-257.69,-170.593,-219.055
10,-0.518,-1.07,-2.234,-265.381,-202.515,-217.834
11,-0.51,-1.387,-1.931,-268.738,-234.314,-206.177
12,-0.531,-1.802,-1.855,-232.239,-256.836,-193.665
13,-0.501,-1.982,-1.495,-268.127,-275.879,-165.833
14,-0.476,-2.133,-1.238,-269.592,-290.283,-134.094
15,-0.449,-2.224,-1.003,-252.747,-297.302,-101.318
16,-0.414,-2.248,-0.789,-234.192,-298.95,-66.528
17,-0.391,-2.297,-0.648,-209.717,-296.997,-33.325
18,-0.412,-2.359,-0.572,-175.964,-292.603,-3.845
19,-0.477,-2.415,-0.548,-136.902,-289.429,24.841
20,-0.563,-2.42,-0.491,-108.826,-287.964,55.237
21,-0.667,-2.406,-0.383,-73.364,-294.861,83.801
22,-0.778,-2.311,-0.202,-52.063,-304.016,113.464
