aX,aY,aZ,gX,gY,gZ
0.406,0.051,-0.944,-2.136,-15.076,-3.174
0.406,0.059,-0.910,-3.052,-15.869,-3.113
0.405,0.060,-0.887,-3.479,-14.526,-3.357
0.405,0.051,-0.870,-4.089,-13.062,-4.028
0.401,0.034,-0.856,-4.211,-11.475,-4.333
0.398,0.020,-0.847,-4.028,-9.766,-4.211

0.347,0.170,-2.356,-7.690,48.767,14.099
0.326,0.190,-2.531,-7.629,33.936,12.573
0.285,0.130,-2.600,-6.409,13.672,10.071
0.269,0.108,-2.696,0.061,-8.545,9.399
0.219,0.120,-2.745,-1.282,-31.128,9.827
0.195,0.169,-2.772,0.977,-57.190,10.010
0.153,0.214,-2.772,2.258,-84.351,9.277
0.110,0.236,-2.756,4.761,-111.633,6.836
0.069,0.246,-2.728,6.897,-138.550,3.357
-0.003,0.241,-2.674,8.972,-165.466,-1.099
-0.081,0.245,-2.586,9.949,-193.787,-5.066
-0.170,0.266,-2.462,10.315,-222.839,-8.423
-0.240,0.287,-2.304,9.033,-251.953,-12.817
-0.302,0.287,-2.114,6.104,-280.273,-18.250
-0.378,0.253,-1.894,1.892,-305.786,-24.475
-0.440,0.192,-1.649,-2.380,-326.721,-30.396
-0.451,0.140,-1.398,-7.629,-344.238,-34.302
-0.452,0.104,-1.145,-10.193,-357.178,-35.950
-0.458,0.062,-0.911,-11.353,-365.479,-37.231
-0.439,0.021,-0.719,-12.817,-369.019,-38.269
-0.435,-0.006,-0.546,-12.878,-371.582,-38.696
-0.441,0.009,-0.377,-16.541,-374.023,-37.720
-0.433,0.047,-0.229,-20.752,-372.253,-36.377
-0.394,0.089,-0.094,-24.048,-370.667,-36.255
-0.384,0.118,0.030,-26.733,-367.065,-37.598
-0.366,0.123,0.149,-29.785,-362.122,-40.283
-0.319,0.098,0.264,-30.945,-356.262,-43.640
-0.286,0.044,0.373,-27.405,-348.694,-47.241
-0.247,-0.053,0.472,-20.935,-340.698,-50.476
-0.191,-0.173,0.581,-18.982,-331.360,-52.246
