count,aX,aY,aZ,gX,gY,gZ
107,0.349,-0.124,-1.673,-21.729,51.697,-1.404
108,0.347,-0.106,-1.698,-19.287,46.997,0.183
109,0.341,-0.092,-1.706,-17.212,40.771,1.343
110,0.339,-0.101,-1.663,-14.404,33.447,2.197
111,0.336,-0.135,-1.588,-10.986,26.733,3.296
112,0.334,-0.132,-1.516,-6.287,21.606,5.31
113,0.332,-0.066,-1.479,-0.366,18.555,7.996
114,0.327,0.009,-1.481,3.845,16.968,9.644
115,0.325,0.059,-1.497,5.005,14.038,9.094
116,0.322,0.073,-1.5,3.54,9.338,7.568
117,0.32,0.068,-1.464,0.916,2.869,5.493
118,0.316,0.048,-1.382,-1.892,-3.906,3.845
119,0.315,0.032,-1.28,-4.517,-9.46,2.747

1,0.38,0.125,-2.256,-7.935,-68.909,3.784
2,0.382,0.097,-2.302,-13.062,-85.876,-0.122
3,0.373,0.019,-2.286,-17.212,-105.042,-2.991
4,0.363,-0.089,-2.174,-18.86,-124.573,-4.578
5,0.353,-0.185,-1.999,-16.907,-141.968,-3.723
6,0.337,-0.228,-1.812,-12.634,-156.25,-0.366
7,0.332,-0.223,-1.663,-6.775,-164.429,4.272
8,0.346,-0.187,-1.618,0.549,-166.992,8.606
9,0.344,-0.135,-1.676,5.92,-168.213,11.902
10,0.327,-0.09,-1.766,8.789,-173.157,13.672
11,0.3,-0.097,-1.791,10.01,-183.411,14.099
12,0.272,-0.097,-1.714,10.803,-197.632,13.977
13,0.242,-0.014,-1.585,11.414,-211.853,15.076
14,0.224,0.114,-1.419,10.803,-225.769,15.32
15,0.223,0.2,-1.245,7.263,-237.549,12.268
16,0.227,0.151,-1.058,4.333,-244.873,5.798
17,0.248,-0.006,-0.905,4.456,-248.901,-0.854
18,0.275,-0.167,-0.811,10.376,-247.803,-4.7
19,0.219,-0.275,-0.774,20.325,-246.155,-5.249
20,0.236,-0.397,-0.686,23.437,-245.056,-3.113
21,0.264,-0.409,-0.602,28.687,-246.277,3.479
22,0.252,-0.334,-0.484,29.846,-248.23,11.169
23,0.25,-0.182,-0.355,30.64,-248.84,17.944
24,0.267,-0.034,-0.222,28.137,-248.779,21.179
25,0.291,0.073,-0.136,23.01,-243.713,20.081
26,0.292,0.114,-0.061,16.846,-236.755,16.235
27,0.31,0.106,-0.004,11.658,-231.384,10.986
28,0.318,0.027,0.011,6.836,-222.778,5.676
29,0.31,-0.048,0.049,6.287,-216.98,2.441
30,0.306,-0.108,0.123,7.446,-215.698,2.075
31,0.302,-0.141,0.231,10.559,-214.661,3.662
32,0.306,-0.126,0.353,15.076,-212.463,6.409
33,0.31,-0.077,0.486,13.672,-207.52,9.766
34,0.332,-0.016,0.615,9.094,-199.341,12.024
35,0.364,0.04,0.722,5.127,-186.096,12.512
36,0.393,0.09,0.796,1.709,-169.983,11.597
37,0.419,0.122,0.828,-0.366,-150.94,9.705
38,0.446,0.123,0.823,-0.977,-131.531,6.714
39,0.468,0.102,0.779,-1.953,-112.915,3.601
40,0.483,0.088,0.721,-2.197,-96.985,1.648
41,0.499,0.07,0.675,-1.77,-85.449,0.183
42,0.512,0.042,0.649,-1.526,-77.087,-1.16
43,0.521,0.031,0.645,-0.671,-70.251,-1.465
44,0.531,0.024,0.668,0.854,-64.758,-1.16
45,0.548,0.01,0.714,1.77,-59.265,-1.038
46,0.56,-0.011,0.759,2.136,-51.392,-0.916
47,0.572,-0.037,0.781,1.709,-40.833,-0.549
48,0.579,-0.057,0.779,1.221,-28.32,0.793
49,0.59,-0.058,0.75,0.854,-15.625,2.686
50,0.595,-0.046,0.689,0.305,-3.662,4.395
51,0.599,-0.015,0.626,-0.427,6.042,5.859
52,0.604,0.045,0.587,-1.282,12.39,6.958
53,0.605,0.099,0.578,-2.502,15.625,6.836
54,0.605,0.102,0.599,-3.784,18.188,4.7
55,0.598,0.052,0.64,-6.042,21.118,2.014
56,0.593,0,0.717,-7.324,23.865,0.732
57,0.591,-0.029,0.784,-6.653,29.663,1.221
58,0.59,-0.028,0.817,-5.127,40.344,2.991
59,0.592,-0.009,0.812,-3.784,53.894,4.822
60,0.594,0.008,0.777,-2.38,67.444,5.981
61,0.591,0.023,0.731,-1.892,79.529,6.348
62,0.594,0.039,0.678,-0.732,90.454,6.47
63,0.588,0.03,0.614,0.244,100.891,5.981
64,0.576,0.004,0.565,0.671,109.863,5.127
